Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_277,VGND,li1,132.9400,89.7600,0.000000
FILLER_32_265,VGND,li1,127.4200,89.7600,0.000000
FILLER_32_253,VGND,li1,121.9000,89.7600,0.000000
FILLER_32_251,VGND,li1,118.4500,89.7600,0.000000
FILLER_32_245,VGND,li1,116.8400,89.7600,0.000000
FILLER_32_233,VGND,li1,112.7000,89.7600,0.000000
FILLER_32_221,VGND,li1,107.1800,89.7600,0.000000
FILLER_32_209,VGND,li1,101.6600,89.7600,0.000000
FILLER_32_197,VGND,li1,96.1400,89.7600,0.000000
FILLER_32_195,VGND,li1,92.6900,89.7600,0.000000
FILLER_32_189,VGND,li1,91.0800,89.7600,0.000000
FILLER_32_177,VGND,li1,86.9400,89.7600,0.000000
FILLER_32_165,VGND,li1,81.4200,89.7600,0.000000
FILLER_32_153,VGND,li1,75.9000,89.7600,0.000000
FILLER_32_141,VGND,li1,70.3800,89.7600,0.000000
FILLER_32_139,VGND,li1,66.9300,89.7600,0.000000
FILLER_32_133,VGND,li1,65.3200,89.7600,0.000000
FILLER_32_121,VGND,li1,61.1800,89.7600,0.000000
FILLER_32_109,VGND,li1,55.6600,89.7600,0.000000
FILLER_32_97,VGND,li1,50.1400,89.7600,0.000000
FILLER_32_85,VGND,li1,44.6200,89.7600,0.000000
FILLER_32_83,VGND,li1,41.1700,89.7600,0.000000
FILLER_32_77,VGND,li1,39.5600,89.7600,0.000000
FILLER_32_65,VGND,li1,35.4200,89.7600,0.000000
FILLER_32_53,VGND,li1,29.9000,89.7600,0.000000
FILLER_32_41,VGND,li1,24.3800,89.7600,0.000000
FILLER_32_29,VGND,li1,18.8600,89.7600,0.000000
FILLER_32_27,VGND,li1,15.4100,89.7600,0.000000
FILLER_32_15,VGND,li1,12.4200,89.7600,0.000000
FILLER_32_3,VGND,li1,6.9000,89.7600,0.000000
FILLER_31_329,VGND,li1,155.4800,89.7600,0.000000
FILLER_31_317,VGND,li1,151.3400,89.7600,0.000000
FILLER_31_305,VGND,li1,145.8200,89.7600,0.000000
FILLER_31_293,VGND,li1,140.3000,89.7600,0.000000
FILLER_31_281,VGND,li1,134.7800,89.7600,0.000000
FILLER_31_279,VGND,li1,131.3300,89.7600,0.000000
FILLER_31_273,VGND,li1,129.7200,89.7600,0.000000
FILLER_31_261,VGND,li1,125.5800,89.7600,0.000000
FILLER_31_249,VGND,li1,120.0600,89.7600,0.000000
FILLER_31_237,VGND,li1,114.5400,89.7600,0.000000
FILLER_31_225,VGND,li1,109.0200,89.7600,0.000000
FILLER_31_223,VGND,li1,105.5700,89.7600,0.000000
FILLER_31_217,VGND,li1,103.9600,89.7600,0.000000
FILLER_31_205,VGND,li1,99.8200,89.7600,0.000000
FILLER_31_193,VGND,li1,94.3000,89.7600,0.000000
FILLER_31_181,VGND,li1,88.7800,89.7600,0.000000
FILLER_31_169,VGND,li1,83.2600,89.7600,0.000000
FILLER_31_167,VGND,li1,79.8100,89.7600,0.000000
FILLER_31_161,VGND,li1,78.2000,89.7600,0.000000
FILLER_31_149,VGND,li1,74.0600,89.7600,0.000000
FILLER_31_137,VGND,li1,68.5400,89.7600,0.000000
FILLER_31_125,VGND,li1,63.0200,89.7600,0.000000
FILLER_31_113,VGND,li1,57.5000,89.7600,0.000000
FILLER_31_111,VGND,li1,54.0500,89.7600,0.000000
FILLER_31_105,VGND,li1,52.4400,89.7600,0.000000
FILLER_31_93,VGND,li1,48.3000,89.7600,0.000000
FILLER_31_81,VGND,li1,42.7800,89.7600,0.000000
FILLER_31_69,VGND,li1,37.2600,89.7600,0.000000
FILLER_31_57,VGND,li1,31.7400,89.7600,0.000000
FILLER_31_55,VGND,li1,28.2900,89.7600,0.000000
FILLER_31_51,VGND,li1,27.1400,89.7600,0.000000
FILLER_31_39,VGND,li1,23.4600,89.7600,0.000000
